name,stop_id,latitude,longitude,line_colour,colour_hex_code,route_name,route_id,region
Changi Airport MRT Station,CG2,1.357314545,103.9883212,Green,#009530,Changi Airport Branch Line,CAL,Singapore
Woodlands MRT Station,TE2,1.43594,103.78794,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Braddell MRT Station,NS18,1.340471684,103.8467942,Red,#dc241f,North South Line,NSL,Singapore
Buangkok MRT Station,NE15,1.382877858,103.8931042,Purple,#9016b2,North East Line,NEL,Singapore
Promenade MRT Station,CC4,1.293218051,103.8609921,Yellow,#FF9A00,Circle Line,CCL,Singapore
Botanic Gardens MRT Station,CC19,1.322110193,103.8149876,Yellow,#FF9A00,Circle Line,CCL,Singapore
Raffles Place MRT Station,EW14,1.284125611,103.8514572,Green,#009530,East West Line,EWL,Singapore
Raffles Place MRT Station,NS26,1.284125611,103.8514572,Red,#dc241f,North South Line,NSL,Singapore
Holland Village MRT Station,CC21,1.31183479,103.7962016,Yellow,#FF9A00,Circle Line,CCL,Singapore
Outram Park MRT Station,EW16,1.279764543,103.8395732,Green,#009530,East West Line,EWL,Singapore
Telok Blangah MRT Station,CC28,1.270753211,103.8097544,Yellow,#FF9A00,Circle Line,CCL,Singapore
Telok Ayer MRT Station,DT18,1.282289536,103.8482991,Blue,#0354a6,Downtown Line,DTL,Singapore
Newton MRT Station,NS21,1.3123201,103.8379841,Red,#dc241f,North South Line,NSL,Singapore
Woodlands MRT North Station,TE1,1.4485,103.7855,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Springleaf MRT Station,TE4,1.3981,103.8181,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Lentor MRT Station,TE5,1.3846,103.8367,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Mayflower MRT Station,TE6,1.372,103.8368,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Bright Hill MRT Station,TE7,1.3637,103.8335,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Upper Thomson MRT Station,TE8,1.35461,103.83253,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Caldecott MRT Station,TE9,1.3373,103.8396,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Stevens MRT Station,TE11,1.3199,103.8262,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Napier MRT Station,TE12,1.3066,103.819,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Orchard Boulevard MRT Station,TE13,1.3029,103.8235,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Orchard MRT Station,TE14,1.303,103.8314,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Great World MRT Station,TE15,1.2946,103.8336,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Havelock MRT Station,TE16,1.2885,103.8335,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Outram Park MRT Station,TE17,1.2804,103.8401,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Maxwell MRT Station,TE18,1.2806,103.844,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Shenton Way MRT Station,TE19,1.27754,103.85077,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Marina Bay MRT Station,TE20,1.27529,103.85481,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
Gardens By The Bay • Taman Di Pesisiran MRT Station,TE22,1.279,103.8678,Brown,#734538,Thomson-East Coast Line,TEL,Singapore
