name,station_code,service_provider_name,latitude,longitude,route_id,route_name,line_number,line_colour,colour_hex_code,region
Batang Kali,KA12,Keretapi Tanah Melayu,3.4683857,101.6377519,KA,Port Klang Line,2,Red,#ff0000,Klang Valley
Rasa,KA13,Keretapi Tanah Melayu,3.5003142,101.6341973,KA,Port Klang Line,2,Red,#ff0000,Klang Valley
Kuala Kubu Bharu,KA14,Keretapi Tanah Melayu,3.5532917,101.6395744,KA,Port Klang Line,2,Red,#ff0000,Klang Valley
Tanjung Malim,KA15,Keretapi Tanah Melayu,3.6847038,101.5182181,KA,Port Klang Line,2,Red,#ff0000,Klang Valley
Abdullah Hukum,KD01,Keretapi Tanah Melayu,3.118735,101.672897,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Angkasapuri,KD02,Keretapi Tanah Melayu,3.1135063,101.6732256,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Pantai Dalam,KD03,Keretapi Tanah Melayu,3.0956045,101.6700133,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Petaling,KD04,Keretapi Tanah Melayu,3.0862146,101.6641499,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Jalan Templer,KD05,Keretapi Tanah Melayu,3.08353,101.656641,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Kampung Dato Harun,KD06,Keretapi Tanah Melayu,3.084461,101.6322709,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Seri Setia,KD07,Keretapi Tanah Melayu,3.0845398,101.6218982,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Setia Jaya,KD08,Keretapi Tanah Melayu,3.0831687,101.6114441,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Subang Jaya,KD09,Keretapi Tanah Melayu,3.08466,101.588127,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Batu Tiga,KD10,Keretapi Tanah Melayu,3.075857,101.559779,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Shah Alam,KD11,Keretapi Tanah Melayu,3.0564286,101.5251133,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Padang Jawa,KD12,Keretapi Tanah Melayu,3.0523254,101.4927002,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Bukit Badak,KD13,Keretapi Tanah Melayu,3.0359966,101.470249,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Klang,KD14,Keretapi Tanah Melayu,3.042951,101.449642,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Teluk Pulai,KD15,Keretapi Tanah Melayu,3.0408108,101.4321487,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Teluk Gadong,KD16,Keretapi Tanah Melayu,3.03389,101.42491,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Kampung Raja Uda,KD17,Keretapi Tanah Melayu,3.02016,101.41028,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Jalan Kastam,KD18,Keretapi Tanah Melayu,3.013,101.4026,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Port Klang,KD19,Keretapi Tanah Melayu,2.999459,101.391373,KD,Port Klang Line,2,Red,#ff0000,Klang Valley
Sentul Timur,AG1,Rapid KL,3.185821,101.695335,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
Pudu,AG10,Rapid KL,3.13492,101.712011,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
