station_id,name,station_code,service_provider_name,latitude,longitude,route_id,route_name,line_number,line_colour,colour_hex_code,region,odonym,namesake,opened
78,Sentul Timur,SP1,Rapid KL,3.185821,101.695335,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
79,Pudu,SP10,Rapid KL,3.13492,101.712011,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
80,Chan Sow Lin,SP11,Rapid KL,3.128025,101.715546,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
81,Cheras,SP12,Rapid KL,3.112747,101.714213,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
82,Salak Selatan,SP13,Rapid KL,3.102009,101.706273,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
83,Bandar Tun Razak,SP14,Rapid KL,3.089626,101.712414,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
84,Bandar Tasik Selatan,SP15,Rapid KL,3.076067,101.711311,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
85,Sungai Besi,SP16,Rapid KL,3.063949,101.707987,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
86,Bukit Jalil,SP17,Rapid KL,3.058148,101.692216,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
87,Sri Petaling,SP18,Rapid KL,3.061533,101.687067,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
88,Awan Besar,SP19,Rapid KL,3.062094,101.670606,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
89,Sentul,SP2,Rapid KL,3.178591,101.69551,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
90,Muhibbah,SP20,Rapid KL,3.061934,101.662791,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
91,Alam Sutera,SP21,Rapid KL,3.054838,101.656693,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
92,Kinrara,SP22,Rapid KL,3.050456,101.644155,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
93,Ioi Puchong Jaya,SP24,Rapid KL,3.048131,101.620982,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
94,Pusat Bandar Puchong,SP25,Rapid KL,3.033284,101.61612,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
95,Taman Perindustrian Puchong (TPP),SP26,Rapid KL,3.022811,101.613433,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
96,Bandar Puteri,SP27,Rapid KL,3.017065,101.612829,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
97,Puchong Perdana,SP28,Rapid KL,3.007852,101.605253,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
98,Puchong Prima,SP29,Rapid KL,2.999892,101.596738,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
