Relationship ID,Entrance ID,Station Code,Station Name
58,9849423415,PY04,Sungai Buloh (PY)
59,9849457821,PY04,Sungai Buloh (PY)
60,4952299496,KG23,Taman Pertama
61,5469085650,KG23,Taman Pertama
62,5469085631,KG34,Stadium Kajang
63,5469085630,KG34,Stadium Kajang
64,5469085632,KG34,Stadium Kajang
65,5040821684,KG18A,Bukit Bintang (KG)
66,5040821689,KG18A,Bukit Bintang (KG)
67,5040821685,KG18A,Bukit Bintang (KG)
68,5040821686,KG18A,Bukit Bintang (KG)
69,5040821688,KG18A,Bukit Bintang (KG)
70,4092013971,SP26,Taman Perindustrian Puchong
71,9924537172,SP26,Taman Perindustrian Puchong
72,9924537173,SP18,Sri Petaling
73,7056476417,SP22,Kinrara BK 5
74,7056476419,SP22,Kinrara BK 5
75,7056476416,SP22,Kinrara BK 5
76,7056476413,SP22,Kinrara BK 5
77,2278515570,SP22,Kinrara BK 5
78,7733651045,SP27,Bandar Puteri
79,7733651046,SP27,Bandar Puteri
80,10795657618,KJ20,Taman Jaya
81,5383383307,KJ20,Taman Jaya
82,11066919329,KJ21,Asia Jaya
83,9983207462,KJ22,Taman Paramount
84,9361137458,KJ23,Taman Bahagia
85,9909030875,KJ24,Kelana Jaya
86,1631412559,KJ24,Kelana Jaya
87,5486069126,KJ27,Glenmarie
88,8074913901,KJ27,Glenmarie
89,7150491837,KJ29,SS15
90,7150491826,KJ29,SS15
91,8711020731,KJ30,SS18
