Entrance ID,Entrance Name,Entrance Destination,Longitude,Latitude,Station Name
5261535560,C,,101.6078480,3.1559391,Mutiara Damansara
5261535561,B,,101.6082016,3.1559331,Mutiara Damansara
5261535570,A,,101.6091179,3.1548978,Mutiara Damansara
5261535576,D,,101.6091314,3.1555885,Mutiara Damansara
5261535590,A,,101.6188927,3.1457012,Bandar Utama
5383383307,,,101.6455336,3.1037967,Taman Jaya
5385396790,A,,101.6656456,3.1506493,Semantan
5385396799,B,,101.6657104,3.1515040,Semantan
5386930796,,,101.6954278,3.1725154,Titiwangsa (LRT)
5392028001,,,101.7191447,3.1598600,Ampang Park (LRT)
5469085305,A,,101.7745994,3.0483351,Bandar Tun Hussein Onn
5469085306,B,,101.7742876,3.0483404,Bandar Tun Hussein Onn
5469085434,C,,101.7407913,3.0911621,Taman Mutiara
5469085436,A,,101.7402187,3.0906021,Taman Mutiara
5469085437,B,,101.7406003,3.0914705,Taman Mutiara
5469085483,A,,101.7730056,3.0623535,Sri Raya
5469085491,C,,101.7727877,3.0611700,Sri Raya
5469085492,B,,101.7735523,3.0616414,Sri Raya
5469085624,A,,101.7709892,3.0272459,Bukit Dukung
5469085625,B,,101.7720253,3.0273688,Bukit Dukung
5469085628,A,,101.7837490,3.0004592,Sungai Jernih
5469085629,B,,101.7837971,3.0013333,Sungai Jernih
5469085630,B,,101.7859006,2.9928751,Stadium Kajang
5469085631,A,,101.7861107,2.9944474,Stadium Kajang
5469085632,C,,101.7862931,2.9934309,Stadium Kajang
5469085633,A,,101.7637348,3.0716741,Taman Suntex
5469085640,A,,101.7460092,3.0785733,Taman Connaught
5469085641,B,,101.7450245,3.0794580,Taman Connaught
5469085643,C,,101.7453938,3.0784729,Taman Connaught
5469085650,A,,101.7296842,3.1118305,Taman Pertama
5469085653,A,,101.7731055,3.0413224,Batu 11 Cheras
5484250431,B,,101.6625513,3.1435532,Pusat Bandar Damansara
5484250432,A,,101.6631665,3.1434524,Pusat Bandar Damansara
5484250466,B,Lebuhraya SPRINT,101.6429952,3.1295348,
5484250467,A,Jalan 16/11,101.6427664,3.1283532,Phileo Damansara
5484250474,B,Jalan Wan Kadir 4,101.6312433,3.1360369,Taman Tun Dr Ismail
5484250475,A,Menara Glomac,101.6302937,3.1356637,Taman Tun Dr Ismail
5484616509,B,,101.5936166,3.1498921,Surian
5484616510,A,,101.5935975,3.1494285,Surian
5484616643,B,,101.5793786,3.1504398,Kota Damansara
5484616646,A,,101.5786349,3.1499793,Kota Damansara
5485710268,,,101.7184343,3.1603959,Ampang Park (LRT)
5485710278,,,101.7066125,3.1612899,Kampung Baru
5485710279,,,101.7072844,3.1615617,Kampung Baru
5486069126,,,101.5901459,3.0954324,Glenmarie
5488029391,B,,101.6183414,3.1471418,Bandar Utama
5581685893,D,,101.7117341,3.1460892,Bukit Bintang (Monorail)
5624757756,C,,101.6956284,3.1733467,Titiwangsa (Monorail)
5624757758,B,,101.6958171,3.1729825,Titiwangsa (Monorail)
5641420313,B,,101.6985721,3.1591411,Medan Tuanku
5724964836,C,,101.6985435,3.1594271,Medan Tuanku
5726983880,C,,101.7458130,3.0773976,Taman Connaught
5858640711,C,,101.7116087,3.1462184,Bukit Bintang (Monorail)
5858640712,A,,101.7113170,3.1461311,Bukit Bintang (Monorail)
6162833429,,,101.5820341,3.0296234,USJ21
6162845303,,,101.5812710,3.0295794,USJ21
6375602764,E,,101.7116602,3.1460223,Bukit Bintang (Monorail)
6575190638,B,,101.7080119,3.0634977,Sungai Besi (MRT)
6782815005,A,,101.7057869,3.1406982,Hang Tuah (Monorail)
6782815006,B,,101.7061612,3.1410094,Hang Tuah (Monorail)
7042863007,C,,101.7061185,3.1405920,Hang Tuah (Monorail)
7056476413,,,101.6447464,3.0509896,Kinrara BK 5
7056476416,,,101.6451619,3.0503080,Kinrara BK 5
7056476417,,,101.6443750,3.0502361,Kinrara BK 5
7056476419,,,101.6449537,3.0504795,Kinrara BK 5
7104299331,AEON,,101.7273717,3.1251558,Maluri (KG)
7150491826,,,101.5862977,3.0765187,SS15
7150491837,,,101.5859436,3.0756213,SS15
7259253706,A,,101.6991072,3.1590919,Medan Tuanku
7299533782,A,,101.7319006,3.1049728,Taman Midah
7308309728,B,,101.7726712,3.0406991,Batu 11 Cheras
7387995582,A,,101.7097169,3.1430868,Imbi
